rank,priority,status,provider,signup_url,docs_url,provider_type,auth_required,current_free_offering,free_limit_summary,free_limit_confidence,coding_model_candidates,api_style,openai_compatible,base_url,omniroute_support_status,omniroute_provider_id,setup_time_minutes_est,setup_difficulty,signup_friction,region_friction,requires_phone,requires_credit_card,expected_6mo_value_eur,setup_value_eur_per_hour,coding_value_reason,risks_or_caveats,next_action,last_researched,source_urls
1,P0,already_working,OpenCode Free,local,local,no_auth,no,working,see_docs,medium,omniroute/auto/coding:free,openai_compatible,yes,http://127.0.0.1:20128/v1,built_in_working,opencode,5,low,low,none,no,no,200,2400.0,Zero new signup and already provides a fast free coding lane for agent,Single backend so far; catalog can overstate availability; needs perio,Keep enabled; add to Control Room/OpenCode allowlist; retest daily wit,2026-07-05,local
2,P0,already_working,Groq,https://console.groq.com/,https://console.groq.com/docs/models,free_tier,api_key,working,see_docs,high,omniroute/groq/llama-3.3-70b-versatile,openai_compatible,yes,https://api.groq.com/openai/v1,connected_needs_periodic_smoke,groq,5,low,low,none,unknown,no,140,1680.0,Very high speed and useful free daily quotas make it strong for codin,Free limits vary by organization and can change; not all models are bes,Run smoke tests for gpt-oss-20b; qwen3-32b; llama-3.3-70b; ke,2026-07-05,https://console.groq.com/docs/models
3,P0,already_working,OpenRouter,https://openrouter.ai/,https://openrouter.ai/docs/quickstart,aggregator,api_key,working,see_docs,medium,omniroute/openrouter/free,openai_compatible,yes,https://openrouter.ai/api/v1,connected_needs_periodic_smoke,openrouter,5,low,low,none,unknown,no,110,1320.0,Best single signup for broad free-model discovery; useful when one free,Free router may change backend behavior; model quality and rate limits c,Smoke test openrouter/free; later add specific free model IDs only if,2026-07-05,https://openrouter.ai/openrouter/free
4,P0,needs_verification,MiMoCode Free,https://mimo.mi.com/,local,no_auth,no,free_tier_listed_needs_check,unknown,unknown,omniroute/mcode/mimo-auto,custom,partial,http://127.0.0.1:20128/v1,built_in_needs_exact_model_smoke,mimocode,6,low,low,possible,unknown,no,110,1100.0,If stable, gives a second no-signup free coding route beside OpenCode.,Conflicting UI/test signals; must verify exact /v1/chat/complet,Run three exact smoke tests for mcode/mimo-auto and only then allowlist.,2026-07-05,https://mimo.mi.com/
5,P1,candidate,Cerebras Inference,https://cloud.cerebras.ai/,https://inference-docs.cerebras.ai/models/overview,free_tier,api_key,free_tier_listed_needs_check,see_docs,high,gpt-oss-120b,openai_compatible,yes,https://api.cerebras.ai/v1,provider_present_signup_needed,cerebras,10,low,low,none,unknown,no,120,720.0,Fast inference and large open models are valuable for agent planning, ref,Exact free limits may depend on account; model list changes.,Create key; add OmniRoute connection; import free models; smoke test g,2026-07-05,https://inference-docs.cerebras.ai/models/overview
6,P1,needs_verification,Google AI Studio / Gemini API,https://aistudio.google.com/,https://ai.google.dev/gemini-api/docs,free_tier,api_key,free_tier_listed_needs_check,see_docs,medium,imported Gemini Flash/Flash-Lite/Pro candidates,native_sdk,partial,unknown,connected_needs_model_import_and_smoke,gemini,10,low,low,possible,unknown,no,100,600.0,Useful for general code explanation, debugging, and longish reasoning when,Model names/quotas change frequently; region support can vary; OmniRoute,Import free models from /models; then smoke test smallest Flash/Flash-L,2026-07-05,https://aistudio.google.com/
57,P3,needs_verification,Doubao,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,doubao,25,medium,medium,possible,unknown,unknown,20,48.0,"May expose capable Chinese open/closed models, but signup and region friction",Could be paid-only after signup, region-locked, non-coding, or unstable,Defer until low-friction providers are exhausted; verify phone/region/card,2026-07-05,local
58,P3,needs_verification,FreeModel.dev,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,freemodel-dev,20,medium,medium,unknown,unknown,unknown,20,60.0,"Possible LLM provider, but coding-agent value is unverified.",Could be paid-only after signup, region-locked, non-coding, or unstable,"Open provider page, find official docs/free quota, confirm no card/paid",2026-07-05,local
59,P3,needs_verification,Hackclub AI,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,hackclub,20,medium,medium,unknown,unknown,unknown,20,60.0,"Possible LLM provider, but coding-agent value is unverified.",Could be paid-only after signup, region-locked, non-coding, or unstable,"Open provider page, find official docs/free quota, confirm no card/paid",2026-07-05,local
60,P2,candidate,Hugging Face Inference Providers,https://huggingface.co/join,https://huggingface.co/docs/inference-providers/index,free_tier,api_key,free_tier_listed_needs_check,see_docs,medium,Qwen coder models,openai_compatible,yes,https://router.huggingface.co/v1,provider_present_signup_needed,huggingface,15,medium,low,none,no,unknown,55,220.0,Good catalog breadth and useful if specific open coding models are available through,Provider-routing can obscure cost/limits; must verify billing behavior before enabling.,Create HF token; add to OmniRoute; import only free models if supported,2026-07-05,https://huggingface.co/join
61,P3,needs_verification,iFlytek Spark,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,iflytek,25,medium,medium,possible,unknown,unknown,20,48.0,"May expose capable Chinese open/closed models, but signup and region friction",Could be paid-only after signup, region-locked, non-coding, or unstable,Defer until low-friction providers are exhausted; verify phone/region/card,2026-07-05,local
62,P3,needs_verification,InclusionAI,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,inclusionai,25,medium,medium,possible,unknown,unknown,20,48.0,"May expose capable Chinese open/closed models, but signup and region friction",Could be paid-only after signup, region-locked, non-coding, or unstable,Defer until low-friction providers are exhausted; verify phone/region/card,2026-07-05,local
63,P3,needs_verification,Liquid AI,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,liquid,20,medium,medium,unknown,unknown,unknown,20,60.0,LLM provider but coding/free value unknown.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify models/free quota; defer.,2026-07-05,local
64,P3,needs_verification,LongCat AI,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,longcat,25,medium,medium,possible,unknown,unknown,20,48.0,Possible Chinese LLM provider; setup friction likely higher.,Could be paid-only after signup, region-locked, non-coding, or unstable,Defer; verify phone/region/card.,2026-07-05,local
65,P3,needs_verification,Modal,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,modal,20,medium,medium,unknown,unknown,unknown,20,60.0,"Possible LLM provider, but coding-agent value is unverified.",Could be paid-only after signup, region-locked, non-coding, or unstable,"Open provider page, find official docs/free quota, confirm no card/paid",2026-07-05,local
66,P3,needs_verification,Morph,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,morph,20,medium,medium,unknown,unknown,unknown,20,60.0,"Possible LLM provider, but coding-agent value is unverified.",Could be paid-only after signup, region-locked, non-coding, or unstable,"Open provider page, find official docs/free quota, confirm no card/paid",2026-07-05,local
67,P3,needs_verification,NLP Cloud,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,nlpcloud,20,medium,medium,unknown,unknown,unknown,20,60.0,"Possible LLM provider, but coding-agent value is unverified.",Could be paid-only after signup, region-locked, non-coding, or unstable,"Open provider page, find official docs/free quota, confirm no card/paid",2026-07-05,local
68,P3,needs_verification,Ollama Cloud,https://ollama.com/,https://github.com/ollama/ollama/blob/main/docs/api.md,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,ollama-cloud,20,medium,medium,unknown,unknown,unknown,20,60.0,"Possible LLM provider, but coding-agent value is unverified.",Could be paid-only after signup, region-locked, non-coding, or unstable,"Open provider page, find official docs/free quota, confirm no card/paid",2026-07-05,https://ollama.com/
69,P3,needs_verification,OpenAdapter,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,openadapter,20,medium,medium,unknown,unknown,unknown,20,60.0,"Possible LLM provider, but coding-agent value is unverified.",Could be paid-only after signup, region-locked, non-coding, or unstable,"Open provider page, find official docs/free quota, confirm no card/paid",2026-07-05,local
70,P3,needs_verification,SenseNova,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,sensenova,25,medium,medium,possible,unknown,unknown,20,48.0,"May expose capable Chinese open/closed models, but signup and region friction",Could be paid-only after signup, region-locked, non-coding, or unstable,Defer until low-friction providers are exhausted; verify phone/region/card,2026-07-05,local
71,P3,needs_verification,SparkDesk,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,sparkdesk,25,medium,medium,possible,unknown,unknown,20,48.0,"May expose capable Chinese open/closed models, but signup and region friction",Could be paid-only after signup, region-locked, non-coding, or unstable,Defer until low-friction providers are exhausted; verify phone/region/card,2026-07-05,local
72,P3,needs_verification,StepFun,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,stepfun,25,medium,medium,possible,unknown,unknown,20,48.0,"May expose capable Chinese open/closed models, but signup and region friction",Could be paid-only after signup, region-locked, non-coding, or unstable,Defer until low-friction providers are exhausted; verify phone/region/card,2026-07-05,local
73,P3,needs_verification,Tencent Hunyuan,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,tencent,25,medium,medium,possible,unknown,unknown,20,48.0,"May expose capable Chinese open/closed models, but signup and region friction",Could be paid-only after signup, region-locked, non-coding, or unstable,Defer until low-friction providers are exhausted; verify phone/region/card,2026-07-05,local
74,P3,needs_verification,UncloseAI,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,uncloseai,20,medium,medium,unknown,unknown,unknown,20,60.0,"Possible LLM provider, but coding-agent value is unverified.",Could be paid-only after signup, region-locked, non-coding, or unstable,"Open provider page, find official docs/free quota, confirm no card/paid",2026-07-05,local
75,P3,needs_verification,ZenMux,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,zenmux,15,medium,medium,unknown,unknown,unknown,20,80.0,Unknown provider in OmniRoute free tier.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify official docs before any setup.,2026-07-05,local
76,P3,flaky,DuckDuckGo AI Chat,https://duck.ai/,local,no_auth,no,Visible but recent test was rate-limited/flaky.,see_docs,medium,omniroute/ddgw/gpt-5-mini,custom,partial,http://127.0.0.1:20128/v1,built_in_flaky,duckduckgo-web,5,low,low,none,no,no,15,180.0,May be useful as emergency no-auth fallback if rate limit clears.,Rate-limited and unreliable; not suitable for coding-agent automation.,Keep hidden from Control Room by default; retest occasionally only.,2026-07-05,https://duck.ai/
77,P3,needs_verification,HuggingChat,https://huggingface.co/chat/,https://huggingface.co/docs/huggingchat/index,free_models,web_cookie,free_tier_listed_needs_check,unknown,unknown,HuggingChat chat/code candidates if exposed,custom,partial,http://127.0.0.1:20128/v1,web_route_visible_needs_manual_setup,huggingchat,20,medium,medium,possible,unknown,unknown,35,105.0,May provide additional free web-model capacity, but less suitable for unattended coding,Cookie/session automation can break and may violate provider expectations; avoid unless explicitly,Defer until API-key free tiers are done; if used, set up manually,2026-07-05,https://huggingface.co/chat/
78,P3,rejected_for_now,Brave Search,https://brave.com/search/api/,https://api-dashboard.search.brave.com/app/documentation,free_tier,api_key,not_chat_code,see_docs,medium,none,custom,no,unknown,visible_but_not_chat_coding,brave-search,10,low,medium,unknown,unknown,unknown,0,0.0,"Search/fetch tool, not a coding chat completion provider.",Useful later for retrieval/browser agents, but not for the requested model lane.,Skip for coding-provider setup; revisit only for web-search or scraping tools.,2026-07-05,https://brave.com/search/api/
79,P3,rejected_for_now,Chipotle Pepper AI,https://amelia.chipotle.com/,local,no_auth,no,not_chat_code,see_docs,high,omniroute/pepper/pepper-1,custom,partial,http://127.0.0.1:20128/v1,built_in_failing,chipotle,5,low,low,none,no,no,0,0.0,Not useful for coding even if it worked; currently failing.,502 fetch failed; consumer chatbot not coding-focused.,Hide/ignore unless adapter is fixed and a concrete coding use appears.,2026-07-05,https://amelia.chipotle.com/
80,P3,rejected_for_now,ComfyUI,unknown,unknown,free_tier,varies,not_chat_code,see_docs,medium,none,custom,no,unknown,visible_but_not_chat_coding,comfyui,10,medium,medium,unknown,unknown,unknown,0,0.0,"Image/video/media workflow, not a coding-agent model provider.",May consume local/GPU resources or media credits without helping code agents.,Skip for this inventory.,2026-07-05,local
81,P3,rejected_for_now,Exa Search,unknown,unknown,free_tier,api_key,not_chat_code,see_docs,medium,none,custom,no,unknown,visible_but_not_chat_coding,exa-search,10,low,medium,unknown,unknown,unknown,0,0.0,"Search/fetch tool, not a coding chat completion provider.",Useful later for retrieval/browser agents, but not for the requested model lane.,Skip for coding-provider setup; revisit only for web-search or scraping tools.,2026-07-05,local
82,P3,rejected_for_now,Firecrawl,unknown,unknown,free_tier,api_key,not_chat_code,see_docs,medium,none,custom,no,unknown,visible_but_not_chat_coding,firecrawl,10,low,medium,unknown,unknown,unknown,0,0.0,"Search/fetch tool, not a coding chat completion provider.",Useful later for retrieval/browser agents, but not for the requested model lane.,Skip for coding-provider setup; revisit only for web-search or scraping tools.,2026-07-05,local
83,P3,rejected_for_now,Jina AI,unknown,unknown,free_tier,api_key,not_chat_code,see_docs,medium,none,native_sdk,partial,unknown,visible_but_not_chat_coding,jina-ai,12,medium,medium,unknown,unknown,unknown,0,0.0,"Embedding/rerank/reader provider, not a code-generation model lane.",Could be useful later for RAG, but not for model routing.,Skip for coding/chat; revisit for retrieval pipeline.,2026-07-05,local
84,P3,rejected_for_now,Jina Reader,unknown,unknown,free_tier,api_key,not_chat_code,see_docs,medium,none,custom,no,unknown,visible_but_not_chat_coding,jina-reader,10,low,medium,unknown,unknown,unknown,0,0.0,"Search/fetch tool, not a coding chat completion provider.",Useful later for retrieval/browser agents, but not for the requested model lane.,Skip for coding-provider setup; revisit only for web-search or scraping tools.,2026-07-05,local
85,P3,rejected_for_now,Muse Spark Web / Meta AI,unknown,unknown,free_tier,varies,not_chat_code,see_docs,medium,none,custom,no,unknown,visible_but_not_chat_coding,muse-spark-web,10,medium,medium,unknown,unknown,unknown,0,0.0,"Image/video/media workflow, not a coding-agent model provider.",May consume local/GPU resources or media credits without helping code agents.,Skip for this inventory.,2026-07-05,local
86,P3,rejected_for_now,Nomic,https://www.nomic.ai/,https://docs.nomic.ai/,free_tier,api_key,not_chat_code,see_docs,medium,none,native_sdk,partial,unknown,visible_but_not_chat_coding,nomic,12,medium,medium,unknown,unknown,unknown,0,0.0,"Embedding/rerank/reader provider, not a code-generation model lane.",Could be useful later for RAG, but not for model routing.,Skip for coding/chat; revisit for retrieval pipeline.,2026-07-05,https://www.nomic.ai/
87,P3,rejected_for_now,SD WebUI,unknown,unknown,free_tier,varies,not_chat_code,see_docs,medium,none,custom,no,unknown,visible_but_not_chat_coding,sdwebui,10,medium,medium,unknown,unknown,unknown,0,0.0,"Image/video/media workflow, not a coding-agent model provider.",May consume local/GPU resources or media credits without helping code agents.,Skip for this inventory.,2026-07-05,local
88,P3,rejected_for_now,SearXNG Search,unknown,unknown,free_tier,api_key,not_chat_code,see_docs,medium,none,custom,no,unknown,visible_but_not_chat_coding,searxng-search,10,low,medium,unknown,unknown,unknown,0,0.0,"Search/fetch tool, not a coding chat completion provider.",Useful later for retrieval/browser agents, but not for the requested model lane.,Skip for coding-provider setup; revisit only for web-search or scraping tools.,2026-07-05,local
89,P3,rejected_for_now,Serper Search,unknown,unknown,free_tier,api_key,not_chat_code,see_docs,medium,none,custom,no,unknown,visible_but_not_chat_coding,serper-search,10,low,medium,unknown,unknown,unknown,0,0.0,"Search/fetch tool, not a coding chat completion provider.",Useful later for retrieval/browser agents, but not for the requested model lane.,Skip for coding-provider setup; revisit only for web-search or scraping tools.,2026-07-05,local
90,P3,rejected_for_now,Tavily Search,unknown,unknown,free_tier,api_key,not_chat_code,see_docs,medium,none,custom,no,unknown,visible_but_not_chat_coding,tavily-search,10,low,medium,unknown,unknown,unknown,0,0.0,"Search/fetch tool, not a coding chat completion provider.",Useful later for retrieval/browser agents, but not for the requested model lane.,Skip for coding-provider setup; revisit only for web-search or scraping tools.,2026-07-05,local
91,P3,rejected_for_now,The Old LLM Free,local,local,no_auth,no,not_chat_code,see_docs,medium,omniroute/tllm/gemini_3_flash,custom,partial,http://127.0.0.1:20128/v1,built_in_failing,theoldllm,5,low,low,unknown,unknown,no,0,0.0,Not usable until it answers a tiny chat request.,Catalog-only/blocked behavior; not coding-safe.,Keep out of allowlist; re-check only if provider adapter changes.,2026-07-05,local
92,P3,rejected_for_now,Veo AI Free,unknown,unknown,free_tier,varies,not_chat_code,see_docs,medium,none,custom,no,unknown,visible_but_not_chat_coding,veoaifree-web,10,medium,medium,unknown,unknown,unknown,0,0.0,"Image/video/media workflow, not a coding-agent model provider.",May consume local/GPU resources or media credits without helping code agents.,Skip for this inventory.,2026-07-05,local
93,P3,rejected_for_now,Voyage AI,https://www.voyageai.com/,https://docs.voyageai.com/,free_tier,api_key,not_chat_code,see_docs,medium,none,native_sdk,partial,unknown,visible_but_not_chat_coding,voyage-ai,12,medium,medium,unknown,unknown,unknown,0,0.0,"Embedding/rerank/reader provider, not a code-generation model lane.",Could be useful later for RAG, but not for model routing.,Skip for coding/chat; revisit for retrieval pipeline.,2026-07-05,https://www.voyageai.com/
